 [DEBUG] 2019-03-01 12:31:09,491 [83] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:31:09,492 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:31:10,328 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:31:10,329 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:31:26,614 [80] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:31:26,620 [83] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:31:26,621 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:31:27,461 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:31:27,461 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:33:39,098 [80] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:33:39,098 [80] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:33:48,375 [87] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:33:48,384 [89] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:33:48,385 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:33:49,248 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:33:49,249 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:35:04,396 [83] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:35:04,397 [83] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:35:16,616 [90] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:35:16,625 [83] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:35:16,626 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:35:17,468 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:35:17,469 [83] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:36:51,527 [90] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:36:51,528 [90] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
 [DEBUG] 2019-03-01 12:36:59,018 [86] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:36:59,029 [89] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:36:59,030 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Entered into validate with code 19021107000523
 [DEBUG] 2019-03-01 12:36:59,872 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Status Valid
 [DEBUG] 2019-03-01 12:36:59,873 [89] MAuthAPI.Controllers.AuthorizationController - Validate - Type  TRANSACTIONWISE
 [DEBUG] 2019-03-01 12:39:27,212 [88] MAuthAPI.Controllers.AuthorizationController - .ctor - Entered into mAUth controller
 [DEBUG] 2019-03-01 12:39:27,213 [88] MAuthAPI.Controllers.AuthorizationController - GetAttractions - Entered into Get Attractions
